uf_mun_x,total,AFR,ASI,EST,FRC,GER,GRE,IBR,ITA,JEW,MUS,NOR,RUS
SC_PAINEL,1818,0.055,1.1551,0.055,2.4752,9.0209,0.055,86.5787,0.22,0.165,0.11,0.055,0.055
SC_PALHOCA,154428,0.5504,1.7264,0.18,4.4318,4.6319,0.0932,86.9389,0.8172,0.0499,0.3192,0.1256,0.1353
SC_PALMA SOLA,10078,0.4068,2.4509,0.1687,5.9039,4.2965,0.1588,85.3145,0.6847,0.0099,0.3274,0.2282,0.0496
SC_PALMEIRA,2165,0.1848,0.9238,0.0462,2.4942,2.4018,0.0,93.3025,0.3233,0.0462,0.2309,0.0462,0.0
SC_PALMITOS,21173,0.5054,3.5659,0.2928,6.6311,8.3314,0.2031,78.4159,1.0249,0.0189,0.6376,0.222,0.1511
SC_PAPANDUVA,23243,0.5679,2.3147,0.8519,5.1241,5.877,0.1979,83.367,0.8088,0.142,0.3485,0.1807,0.2194
SC_PARAISO,4649,0.4087,3.3125,0.1076,5.8292,7.8727,0.2581,80.3399,1.097,0.043,0.2581,0.1076,0.3657
SC_PASSO DE TORRES,5838,0.394,1.199,0.1199,4.3165,3.8027,0.0,89.1915,0.2569,0.0171,0.2912,0.394,0.0171
SC_PASSOS MAIA,4356,0.2066,2.3875,0.1148,5.877,2.9155,0.0918,87.0753,0.528,0.1148,0.3673,0.1837,0.1377
SC_PAULO LOPES,7968,0.364,1.2676,0.2887,2.5853,1.4684,0.1004,92.6832,0.7279,0.0502,0.3012,0.0879,0.0753
SC_PEDRAS GRANDES,5395,0.5375,4.0964,0.1112,5.8943,2.1131,0.0741,85.7461,0.6673,0.0371,0.278,0.278,0.1668
SC_PENHA,29246,0.571,1.9353,0.1846,4.4519,4.7049,0.1334,86.5588,0.8309,0.0308,0.3966,0.0821,0.1197
SC_PERITIBA,3765,0.3984,3.5591,0.2656,5.923,9.2961,0.1328,78.3533,1.0093,0.0266,0.4515,0.5046,0.0797
SC_PESCARIA BRAVA,982,0.4073,0.8147,0.1018,1.1202,1.6293,0.2037,95.5193,0.1018,0.0,0.0,0.1018,0.0
SC_PETROLANDIA,7594,0.6057,1.9489,0.1185,4.0295,12.5889,0.079,78.6674,1.0403,0.237,0.316,0.2502,0.1185
SC_PINHALZINHO,17960,0.5958,2.667,0.3842,6.6425,7.4443,0.1225,80.3619,0.9298,0.0278,0.412,0.2728,0.1392
SC_PINHEIRO PRETO,3764,0.5313,1.9394,0.4516,6.5356,4.7024,0.1063,84.2455,0.7173,0.0,0.4782,0.1594,0.1328
SC_PIRATUBA,6217,0.6756,2.5736,0.1287,4.9863,8.1229,0.0804,81.8723,0.8847,0.0161,0.3217,0.2252,0.1126
SC_PLANALTO ALEGRE,2713,0.8109,3.0225,0.516,7.8142,3.3911,0.2212,82.6391,0.8478,0.0369,0.258,0.2949,0.1474
SC_POMERODE,32469,0.9578,4.0993,0.4866,7.1083,17.7893,0.1725,66.9901,1.4599,0.0185,0.4281,0.3141,0.1756
SC_PONTE ALTA,6172,0.2106,1.2152,0.0648,3.9047,4.4556,0.0162,89.5982,0.2916,0.0,0.1296,0.081,0.0324
SC_PONTE ALTA DO NORTE,3500,0.3143,0.7429,0.1143,4.5429,4.2571,0.0571,89.0571,0.4857,0.0571,0.1429,0.1714,0.0571
SC_PONTE SERRADA,14848,0.4445,1.9801,0.1347,5.6169,3.1721,0.0606,87.7694,0.4243,0.0135,0.1953,0.1078,0.0808
SC_PORTO BELO,17913,0.5192,1.7473,0.1954,4.3935,4.7563,0.1396,86.9759,0.7704,0.0167,0.2959,0.1005,0.0893
SC_PORTO UNIAO,42778,0.5751,2.5761,0.6732,5.6595,7.6067,0.2268,80.6232,1.0122,0.0608,0.5119,0.1309,0.3436
SC_POUSO REDONDO,17257,0.6027,2.6656,0.2839,4.9777,6.9421,0.0522,82.836,0.9387,0.029,0.3535,0.1507,0.168
SC_PRAIA GRANDE,10789,0.2966,1.3903,0.139,3.587,2.8084,0.0278,90.5552,0.3059,0.0185,0.1205,0.7137,0.0371
SC_PRESIDENTE CASTELLO BRANCO,587,0.6814,4.0886,0.3407,6.644,7.6661,0.0,78.8756,1.0221,0.0,0.1704,0.1704,0.3407
SC_PRESIDENTE GETULIO,17166,1.0602,3.4836,0.5359,5.9944,11.9597,0.1981,74.3388,1.3981,0.0641,0.3787,0.3321,0.2563
SC_PRESIDENTE NEREU,2703,0.9619,2.8857,0.037,5.0314,8.3241,0.037,81.1321,0.8139,0.037,0.296,0.333,0.111
SC_PRINCESA,2358,0.5089,2.1204,0.2545,6.3189,8.5242,0.1272,81.0857,0.8058,0.0,0.1696,0.0424,0.0424
SC_QUILOMBO,14492,0.4347,2.6359,0.2415,7.3696,4.1885,0.1173,83.4667,0.8349,0.0138,0.4692,0.1242,0.1035
SC_RANCHO QUEIMADO,735,0.9524,2.9932,0.4082,6.3946,10.3401,0.1361,76.7347,0.9524,0.0,0.4082,0.2721,0.4082
SC_RIO DAS ANTAS,6465,0.5878,2.6914,0.2784,5.6148,6.3264,0.1701,82.645,0.7889,0.0309,0.4486,0.232,0.1856
SC_RIO DO CAMPO,7702,0.766,3.155,0.6362,4.4404,5.8297,0.1818,82.8616,1.2205,0.0649,0.5064,0.1039,0.2337
SC_RIO DO OESTE,8258,0.884,2.6156,0.3754,5.6067,5.8852,0.1211,82.4049,1.2473,0.0242,0.3754,0.2301,0.2301
SC_RIO DO SUL,67842,0.7134,2.7594,0.2771,5.7929,8.2604,0.1356,80.1672,1.0554,0.0619,0.3847,0.2211,0.171
SC_RIO DOS CEDROS,12590,0.8022,3.058,0.3733,5.8618,7.4186,0.2383,80.2224,1.0008,0.0079,0.6354,0.1906,0.1906
SC_RIO FORTUNA,5578,0.9502,2.9939,0.251,4.6612,15.1309,0.1793,74.5608,0.7709,0.1255,0.1434,0.1076,0.1255
SC_RIO NEGRINHO,47568,0.6748,2.1401,0.3174,5.6929,7.3852,0.2397,81.9416,0.8977,0.0399,0.3532,0.1808,0.1366
SC_RIO RUFINO,2052,0.5361,2.729,0.0487,3.9961,5.2632,0.1949,86.2086,0.4386,0.1462,0.2437,0.0975,0.0975
SC_RIQUEZA,4852,0.4122,3.3182,0.1237,7.3784,7.5639,0.1237,79.1632,1.1336,0.0206,0.3092,0.2679,0.1855
