uf_mun_x,total,AFR,ASI,EST,FRC,GER,GRE,IBR,ITA,JEW,MUS,NOR,RUS
SC_BANDEIRANTE,2721,0.3308,3.2341,0.147,6.8357,25.5788,0.0368,62.6608,0.0735,0.0,0.4778,0.588,0.0368
SC_BARRA BONITA,1620,0.6173,2.9012,0.7407,5.0617,13.0864,0.8025,74.8148,0.5556,0.1235,0.8025,0.1235,0.3704
SC_BARRA VELHA,27387,0.4528,1.6395,0.3432,3.4031,9.9573,0.2045,83.3279,0.2775,0.0037,0.1935,0.1534,0.0438
SC_BELA VISTA DO TOLDO,4181,0.5501,5.7642,1.9134,6.5056,19.7082,0.3348,63.5733,0.9089,0.1913,0.2631,0.1674,0.1196
SC_BELMONTE,2872,2.124,2.8203,0.3482,10.6894,10.3064,0.4875,72.0056,0.4178,0.0,0.1741,0.1741,0.4526
SC_BENEDITO NOVO,12252,0.9468,2.3506,0.6121,4.2279,48.2125,0.0408,42.4502,0.604,0.0163,0.3265,0.2122,0.0
SC_BIGUACU,49341,0.3304,0.912,0.1946,3.1738,6.5463,0.075,88.2045,0.1642,0.0,0.2229,0.1277,0.0486
SC_BLUMENAU,392869,0.6811,1.8793,0.3655,4.8487,22.1707,0.1413,68.8179,0.2981,0.0563,0.2948,0.4118,0.0346
SC_BOCAINA DO SUL,2910,0.2062,1.2715,0.0,0.9278,14.1924,0.0,81.9931,0.2405,1.0653,0.0687,0.0344,0.0
SC_BOM JARDIM DA SERRA,5088,0.3145,0.7665,0.0,1.8868,2.103,0.3931,94.1038,0.2948,0.0,0.0197,0.1179,0.0
SC_BOM JESUS,2532,0.8689,2.0932,0.237,5.7267,3.6335,0.0,86.9273,0.1975,0.0,0.079,0.237,0.0
SC_BOM JESUS DO OESTE,2086,0.1438,1.9655,0.3356,8.3413,36.0019,0.0,52.9722,0.0,0.0,0.1438,0.0959,0.0
SC_BOM RETIRO,10620,0.2637,1.5066,0.0188,4.9153,10.2825,0.452,81.5725,0.8851,0.0471,0.0094,0.0471,0.0
SC_BOMBINHAS,17046,0.4107,1.3904,0.3344,4.3119,7.1454,0.0587,85.3573,0.2699,0.0587,0.4576,0.1643,0.0411
SC_BOTUVERA,5135,0.4284,2.7459,0.0974,10.185,10.925,0.0389,72.9114,0.9542,1.4411,0.2726,0.0,0.0
SC_BRACO DO NORTE,34905,0.9196,2.0312,0.2149,3.0254,15.6396,0.0888,77.5047,0.2722,0.0057,0.1719,0.1232,0.0029
SC_BRACO DO TROMBUDO,3682,0.6247,2.7974,0.7333,4.4813,44.704,0.0,41.7708,3.1505,0.0272,0.0,1.711,0.0
SC_BRUNOPOLIS,2969,0.0337,1.9198,0.0,5.2206,7.6457,0.0,84.6413,0.0337,0.0,0.5052,0.0,0.0
SC_BRUSQUE,126848,0.5085,2.0663,0.1671,5.7234,16.5545,0.0867,73.2412,0.8916,0.1025,0.2609,0.309,0.0883
SC_CACADOR,86614,0.456,2.3426,0.4318,4.9438,7.8059,0.2378,82.6044,0.2979,0.0208,0.3983,0.2505,0.2101
SC_CAIBI,7858,0.5599,3.1433,0.0382,11.1097,9.4044,0.1145,74.1537,0.9799,0.0,0.3691,0.1273,0.0
SC_CALMON,3205,0.312,1.8409,0.2496,4.6802,7.5195,0.0624,84.6802,0.2808,0.0,0.0312,0.2496,0.0936
SC_CAMBORIU,58186,0.3472,1.3491,0.3128,3.4355,6.6391,0.067,87.1722,0.2337,0.0344,0.208,0.1616,0.0395
SC_CAMPO ALEGRE,12382,1.4456,2.0675,1.4133,4.2077,21.8462,0.0888,66.8955,0.2261,0.105,0.8803,0.7915,0.0323
SC_CAMPO BELO DO SUL,10966,0.2371,0.6931,0.0091,0.9393,1.9424,0.0,96.1153,0.0182,0.0091,0.0182,0.0091,0.0091
SC_CAMPO ERE,15318,0.5745,2.4677,0.457,6.5413,11.9402,0.2481,77.1837,0.3329,0.0326,0.0979,0.0914,0.0326
SC_CAMPOS NOVOS,44771,0.516,1.4697,0.0893,3.949,5.4678,0.0581,87.6773,0.3328,0.0089,0.2814,0.096,0.0536
SC_CANELINHA,11894,0.3111,1.0257,0.4792,4.8596,5.8433,0.0084,86.985,0.2775,0.0,0.1009,0.0589,0.0504
SC_CANOINHAS,72195,0.6967,3.6928,1.8852,4.7012,16.9319,0.2299,70.1918,0.5679,0.2244,0.4474,0.2216,0.2092
SC_CAPAO ALTO,2056,0.0,0.6809,0.0,0.535,2.6751,0.0,96.0117,0.0,0.0,0.0973,0.0,0.0
SC_CAPINZAL,25768,0.229,2.3673,0.2096,5.0567,8.6309,0.3726,82.4783,0.2251,0.0039,0.3182,0.0776,0.031
SC_CAPIVARI DE BAIXO,25288,0.4666,0.7197,0.0791,2.3134,2.0761,0.0356,93.922,0.1859,0.004,0.1424,0.0554,0.0
SC_CATANDUVAS,12461,0.7624,2.3112,0.2568,5.9947,5.6175,0.008,84.2469,0.3932,0.0,0.2327,0.1525,0.0241
SC_CAXAMBU DO SUL,6814,0.7631,2.7003,0.1761,8.0716,4.5935,0.1027,82.1984,0.3229,0.0294,0.4843,0.3375,0.2201
SC_CELSO RAMOS,2836,3.7024,4.3018,0.0,5.2186,3.914,0.1058,81.9111,0.1763,0.0,0.4231,0.2468,0.0
SC_CERRO NEGRO,3065,0.1305,0.3915,0.0,1.1419,1.925,0.0,96.4111,0.0,0.0,0.0,0.0,0.0
SC_CHAPADAO DO LAGEADO,2245,0.1336,0.98,0.0891,2.9399,25.3452,0.0,69.265,0.3563,0.0445,0.0,0.4454,0.4009
SC_CHAPECO,208465,0.615,2.6086,0.4926,6.4927,8.7358,0.154,79.7731,0.4418,0.0532,0.3252,0.259,0.0489
